Rk,Player,Tm,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,Guaranteed,Player_Clean,Team_Clean,Current_Salary,Salary_Tier,Salary_Millions,Has_Salary_Data,Multi_Year_Contract,Total_Contract_Value
95,Andrew Nembhard,IND,18102000,19550160,,,,,"$58,650,480",Andrew Nembhard,IND,18102000,Star,18.102,True,True,37652160.0
97,Patrick Williams,CHI,18000000,18000000,,,,,"$54,000,000",Patrick Williams,CHI,18000000,Star,18.0,True,True,36000000.0
99,Luguentz Dort,OKC,17722222,17722222,,,,,"$17,722,222",Luguentz Dort,OKC,17722222,Star,17.722222,True,True,35444444.0
100,Keldon Johnson,SAS,17500000,17500000,,,,,"$35,000,000",Keldon Johnson,SAS,17500000,Star,17.5,True,True,35000000.0
101,Grayson Allen,PHO,16875000,18125000,,,,,"$35,000,000",Grayson Allen,PHX,16875000,Star,16.875,True,True,35000000.0
102,Klay Thompson,DAL,16666667,17460317,,,,,"$34,126,984",Klay Thompson,DAL,16666667,Star,16.666667,True,True,34126984.0
103,Bogdan Bogdanović,LAC,16020000,16020000,,,,,"$16,020,000",Bogdan Bogdanović,LAC,16020000,Star,16.02,True,True,32040000.0
104,Max Strus,CLE,15936452,16660836,,,,,"$32,597,288",Max Strus,CLE,15936452,Star,15.936452,True,True,32597288.0
105,Terance Mann,BRK,15500000,15500000,,,,,"$47,000,000",Terance Mann,BKN,15500000,Star,15.5,True,True,31000000.0
107,Onyeka Okongwu,ATL,15000000,16120000,,,,,"$48,000,000",Onyeka Okongwu,ATL,15000000,Role Player,15.0,True,True,31120000.0
108,Jonathan Isaac,ORL,15000000,14500000,,,,,"$44,000,000",Jonathan Isaac,ORL,15000000,Role Player,15.0,True,True,29500000.0
109,Isaiah Stewart,DET,15000000,15000000,,,,,"$30,000,000",Isaiah Stewart,DET,15000000,Role Player,15.0,True,True,30000000.0
111,Deni Avdija,POR,14375000,13125000,,,,,"$39,375,000",Deni Avdija,POR,14375000,Role Player,14.375,True,True,27500000.0
114,Obi Toppin,IND,14000000,15000000,,,,,"$45,025,000",Obi Toppin,IND,14000000,Role Player,14.0,True,True,29000000.0
115,Corey Kispert,WAS,13975000,13975000,,,,,"$41,000,000",Corey Kispert,WAS,13975000,Role Player,13.975,True,True,27950000.0
116,Herbert Jones,NOP,13937574,14898786,,,,,"$28,836,360",Herbert Jones,NOR,13937574,Role Player,13.937574,True,True,28836360.0
117,Austin Reaves,LAL,13937574,14898786,,,,,"$13,937,574",Austin Reaves,LAL,13937574,Role Player,13.937574,True,True,28836360.0
118,Cooper Flagg,DAL,13825920,14517480,,,,,"$28,343,400",Cooper Flagg,DAL,13825920,Role Player,13.82592,True,True,28343400.0
120,Josh Green,CHO,13666667,14679012,,,,,"$28,345,679",Josh Green,CHA,13666667,Role Player,13.666667,True,True,28345679.0
121,Grant Williams,CHO,13645500,14265750,,,,,"$27,911,250",Grant Williams,CHA,13645500,Role Player,13.6455,True,True,27911250.0
123,Victor Wembanyama,SAS,13376880,16868246,,,,,"$13,376,880",Victor Wembanyama,SAS,13376880,Role Player,13.37688,True,True,30245126.0
125,Zaccharie Risacher,ATL,13197720,13826040,,,,,"$13,197,720",Zaccharie Risacher,ATL,13197720,Role Player,13.19772,True,True,27023760.0
129,Brandon Clarke,MEM,12500000,12500000,,,,,"$25,000,000",Brandon Clarke,MEM,12500000,Role Player,12.5,True,True,25000000.0
130,Dylan Harper,SAS,12370320,12989040,,,,,"$25,359,360",Dylan Harper,SAS,12370320,Role Player,12.37032,True,True,25359360.0
131,Isaiah Joe,OKC,12362338,11323006,,,,,"$23,685,344",Isaiah Joe,OKC,12362338,Role Player,12.362338,True,True,23685344.0
133,Donte DiVincenzo,MIN,11990000,12535000,,,,,"$24,525,000",Donte DiVincenzo,MIN,11990000,Role Player,11.99,True,True,24525000.0
134,Brandon Miller,CHO,11968800,15104626,,,,,"$11,968,800",Brandon Miller,CHA,11968800,Role Player,11.9688,True,True,27073426.0
135,Alex Sarr,WAS,11808240,12370680,,,,,"$11,808,240",Alex Sarr,WAS,11808240,Role Player,11.80824,True,True,24178920.0
136,Moses Moody,GSW,11574075,12500000,,,,,"$37,500,000",Moses Moody,GSW,11574075,Role Player,11.574075,True,True,24074075.0
137,Jarred Vanderbilt,LAL,11571429,12428571,,,,,"$24,000,000",Jarred Vanderbilt,LAL,11571429,Role Player,11.571429,True,True,24000000.0
141,VJ Edgecombe,PHI,11108880,11663880,,,,,"$22,772,760",VJ Edgecombe,PHI,11108880,Role Player,11.10888,True,True,22772760.0
142,Luke Kornet,SAS,11000000,10450000,,,,,"$24,000,000",Luke Kornet,SAS,11000000,Role Player,11.0,True,True,21450000.0
143,Isaac Okoro,CHI,11000000,11814814,,,,,"$22,814,814",Isaac Okoro,CHI,11000000,Role Player,11.0,True,True,22814814.0
144,Aaron Nesmith,IND,11000000,11000000,,,,,"$22,000,000",Aaron Nesmith,IND,11000000,Role Player,11.0,True,True,22000000.0
146,Wendell Carter Jr.,ORL,10850000,18102000,,,,,"$48,502,160",Wendell Carter Jr.,ORL,10850000,Role Player,10.85,True,True,28952000.0
148,Scoot Henderson,POR,10748040,13585523,,,,,"$10,748,040",Scoot Henderson,POR,10748040,Role Player,10.74804,True,True,24333563.0
149,Reed Sheppard,HOU,10603560,11108880,,,,,"$10,603,560",Reed Sheppard,HOU,10603560,Role Player,10.60356,True,True,21712440.0
